cat,east,north,altitud
605,444100.0,761462.5,2738.0
606,446900.0,761387.5,2657.0
607,447443.75,761437.5,2654.0
609,436756.25,761468.75,2984.0
610,437268.75,761468.75,2969.0
611,439681.25,761293.75,2868.0
612,436350.0,761281.25,2971.0
613,445100.0,761418.75,2682.0
614,433668.75,761400.0,2928.0
615,440568.75,761406.25,2842.0
616,438562.5,761368.75,2921.0
617,439087.5,761375.0,2895.0
618,435768.75,761381.25,2921.0
619,435275.0,761343.75,2935.0
620,438181.25,761368.75,2932.0
621,438568.75,761143.75,2909.0
622,449275.0,761281.25,2615.0
623,435181.25,761293.75,2934.0
624,431856.25,761325.0,2844.0
625,433500.0,761256.25,2927.0
626,447000.0,761312.5,2646.0
627,445393.75,761275.0,2676.0
628,448231.25,761268.75,2615.0
629,448962.5,761268.75,2628.0
630,449118.75,761293.75,2615.0
631,448881.25,761281.25,2620.0
632,449137.5,761231.25,2622.0
633,443593.75,761218.75,2734.0
634,449975.0,761231.25,2539.0
635,442162.5,761212.5,2770.0
636,442962.5,761162.5,2762.0
637,446156.25,761181.25,2614.0
638,430756.25,761143.75,2920.0
639,439512.5,761168.75,2849.0
640,436356.25,761156.25,2969.0
641,436362.5,761043.75,2977.0
642,430906.25,761093.75,2907.0
643,435881.25,761087.5,2902.0
644,449962.5,761106.25,2547.0
645,448150.0,761093.75,2597.0
646,448756.25,761093.75,2611.0
647,444206.25,761093.75,2692.0
648,439681.25,761081.25,2862.0
649,443125.0,761081.25,2745.0
650,445493.75,760968.75,2672.0
651,431093.75,761068.75,2891.0
652,431268.75,761031.25,2908.0
653,439100.0,761043.75,2866.0
654,434068.75,760981.25,2901.0
655,443018.75,761018.75,2753.0
657,439600.0,760962.5,2873.0
659,436718.75,760956.25,2946.0
660,433987.5,760956.25,2893.0
661,444456.25,760893.75,2690.0
662,442925.0,760943.75,2755.0
663,442981.25,760943.75,2756.0
664,433468.75,760868.75,2893.0
665,444593.75,760918.75,2670.0
666,449925.0,760956.25,2558.0
667,436593.75,760906.25,2948.0
668,427775.0,760887.5,2584.0
669,436881.25,760868.75,2944.0
670,431556.25,760868.75,2923.0
671,435412.5,760856.25,2897.0
672,438656.25,760837.5,2915.0
673,435481.25,760868.75,2894.0
674,435725.0,760843.75,2898.0
675,437681.25,760781.25,2937.0
676,432137.5,760806.25,2906.0
677,437793.75,760825.0,2935.0
678,437200.0,760768.75,2954.0
679,439662.5,760743.75,2861.0
680,445543.75,760806.25,2664.0
681,434837.5,760750.0,2912.0
682,434943.75,760781.25,2901.0
683,435475.0,760756.25,2904.0
684,449925.0,760756.25,2552.0
685,434681.25,760781.25,2901.0
686,439181.25,760756.25,2862.0
687,449231.25,760743.75,2575.0
688,434081.25,760768.75,2891.0
689,437887.5,760756.25,2927.0
690,432312.5,760756.25,2893.0
691,435675.0,760731.25,2901.0
692,427693.75,760743.75,2593.0
693,432631.25,760687.5,2895.0
694,433756.25,760743.75,2874.0
695,439800.0,760668.75,2869.0
696,433706.25,760418.75,2888.0
697,434893.75,760731.25,2905.0
698,436331.25,760700.0,2963.0
699,430862.5,760718.75,2860.0
700,437931.25,760706.25,2925.0
701,436631.25,760668.75,2945.0
702,433056.25,760693.75,2903.0
703,441281.25,760593.75,2897.0
704,450118.75,760618.75,2552.0
705,445287.5,760662.5,2654.0
706,449118.75,760637.5,2558.0
707,435493.75,760668.75,2897.0
708,441531.25,760606.25,2892.0
709,435350.0,760631.25,2899.0
710,445181.25,760656.25,2646.0
711,438875.0,760631.25,2881.0
712,449450.0,760625.0,2551.0
713,436381.25,760600.0,2959.0
714,437250.0,760618.75,2938.0
715,434487.5,760587.5,2891.0
716,445543.75,760587.5,2657.0
717,432775.0,760481.25,2884.0
718,445043.75,760593.75,2635.0
719,435056.25,760562.5,2895.0
720,433431.25,760556.25,2870.0
721,436956.25,760556.25,2915.0
722,437756.25,760493.75,2929.0
723,434918.75,760525.0,2887.0
724,437387.5,760437.5,2931.0
725,438718.75,760543.75,2878.0
726,439812.5,760468.75,2873.0
727,441500.0,760506.25,2877.0
728,443975.0,760512.5,2676.0
729,435268.75,760456.25,2895.0
730,431843.75,760387.5,2890.0
731,435200.0,760475.0,2897.0
732,435612.5,760431.25,2892.0
733,439443.75,760462.5,2860.0
734,429256.25,760412.5,2694.0
735,438781.25,760368.75,2878.0
736,441193.75,760368.75,2901.0
737,446293.75,760318.75,2629.0
738,439168.75,760362.5,2857.0
739,434793.75,760325.0,2887.0
740,435225.0,760250.0,2905.0
741,445718.75,760268.75,2644.0
742,442568.75,760243.75,2827.0
743,447081.25,760218.75,2620.0
744,439925.0,760306.25,2876.0
745,445412.5,760306.25,2620.0
746,433281.25,760212.5,2880.0
747,434668.75,760293.75,2876.0
748,439412.5,760275.0,2863.0
749,445956.25,760293.75,2619.0
750,441256.25,760225.0,2904.0
751,443631.25,760250.0,2734.0
752,434225.0,760231.25,2862.0
753,429218.75,760225.0,2701.0
754,432581.25,760043.75,2878.0
755,436418.75,760225.0,2945.0
756,441356.25,760218.75,2903.0
757,446118.75,760218.75,2614.0
758,429300.0,760131.25,2693.0
759,434518.75,760187.5,2872.0
760,438337.5,760193.75,2881.0
761,440281.25,760156.25,2900.0
762,440081.25,760193.75,2887.0
763,445868.75,760168.75,2636.0
764,446712.5,760150.0,2584.0
765,436768.75,760156.25,2946.0
766,441768.75,760131.25,2863.0
767,436312.5,759993.75,2963.0
768,438475.0,760156.25,2878.0
769,439837.5,760156.25,2874.0
770,442931.25,760156.25,2821.0
771,443306.25,760156.25,2776.0
772,439993.75,760125.0,2884.0
773,442312.5,760131.25,2811.0
774,435025.0,760093.75,2889.0
775,440756.25,760087.5,2918.0
776,441856.25,760093.75,2855.0
777,435137.5,760081.25,2890.0
778,440568.75,760043.75,2912.0
779,428006.25,760081.25,2768.0
780,436962.5,760068.75,2923.0
781,435656.25,760018.75,2890.0
782,440693.75,760037.5,2912.0
783,428056.25,759943.75,2787.0
784,432225.0,760006.25,2858.0
785,446043.75,760000.0,2623.0
786,437250.0,759962.5,2898.0
787,433525.0,759956.25,2864.0
788,434606.25,759968.75,2855.0
789,435543.75,759993.75,2885.0
790,439312.5,759906.25,2893.0
791,437575.0,759937.5,2890.0
792,433693.75,759943.75,2853.0
793,438750.0,759956.25,2868.0
794,446162.5,759968.75,2609.0
795,433893.75,759918.75,2842.0
796,435781.25,759943.75,2879.0
797,433768.75,759931.25,2848.0
798,435375.0,759806.25,2877.0
799,437531.25,759837.5,2880.0
800,444843.75,759818.75,2707.0
801,430275.0,759831.25,2687.0
802,433543.75,759831.25,2851.0
803,433543.75,759806.25,2850.0
804,438581.25,759743.75,2888.0
805,439668.75,759806.25,2875.0
806,433962.5,759775.0,2836.0
807,438687.5,759781.25,2874.0
808,440981.25,759606.25,2952.0
809,433231.25,759743.75,2824.0
810,433593.75,759731.25,2849.0
811,441437.5,759743.75,2929.0
812,436868.75,759725.0,2922.0
813,430868.75,759718.75,2693.0
814,438475.0,759706.25,2880.0
815,433443.75,759643.75,2853.0
816,433943.75,759643.75,2838.0
817,441425.0,759681.25,2924.0
818,441775.0,759656.25,2888.0
819,436800.0,759668.75,2926.0
820,440112.5,759637.5,2905.0
821,441993.75,759681.25,2879.0
822,442106.25,759675.0,2876.0
823,436193.75,759618.75,2942.0
824,436512.5,759481.25,2949.0
825,438075.0,759568.75,2905.0
